type	TP	TP.baseline	FP	FN	precision	recall	F1	qual	method	graph	sample	depth
Total	16	16	0	1303	1	0.0121	0.0239	89.31	svtyper	truth	s1	1
INS	0	0	0	668	NA	0	NA	89.31	svtyper	truth	s1	1
DEL	16	16	0	635	1	0.0246	0.048	89.31	svtyper	truth	s1	1
Total	1	1	0	1318	1	8e-04	0.0016	177.38	svtyper	truth	s1	1
INS	0	0	0	668	NA	0	NA	177.38	svtyper	truth	s1	1
DEL	1	1	0	650	1	0.0015	0.003	177.38	svtyper	truth	s1	1
Total	390	390	0	929	1	0.2957	0.4564	0	delly	truth	s1	1
INS	90	90	0	578	1	0.1347	0.2374	0	delly	truth	s1	1
DEL	300	300	0	351	1	0.4608	0.6309	0	delly	truth	s1	1
Total	417	417	0	902	1	0.3161	0.4804	0	bayestyper	truth	s1	1
INS	245	245	0	423	1	0.3668	0.5367	0	bayestyper	truth	s1	1
DEL	172	172	0	479	1	0.2642	0.418	0	bayestyper	truth	s1	1
Total	417	417	0	902	1	0.3161	0.4804	21.1919	bayestyper	truth	s1	1
INS	245	245	0	423	1	0.3668	0.5367	21.1919	bayestyper	truth	s1	1
DEL	172	172	0	479	1	0.2642	0.418	21.1919	bayestyper	truth	s1	1
Total	408	408	0	911	1	0.3093	0.4725	99	bayestyper	truth	s1	1
INS	236	236	0	432	1	0.3533	0.5221	99	bayestyper	truth	s1	1
DEL	172	172	0	479	1	0.2642	0.418	99	bayestyper	truth	s1	1
Total	351	351	0	972	1	0.2653	0.4193	0	toilvg	calls	s2	1
INS	212	212	0	443	1	0.3237	0.4891	0	toilvg	calls	s2	1
DEL	139	139	0	529	1	0.2081	0.3445	0	toilvg	calls	s2	1
Total	351	351	0	972	1	0.2653	0.4193	14	toilvg	calls	s2	1
INS	212	212	0	443	1	0.3237	0.4891	14	toilvg	calls	s2	1
DEL	139	139	0	529	1	0.2081	0.3445	14	toilvg	calls	s2	1
Total	324	324	0	999	1	0.2449	0.3934	33	toilvg	calls	s2	1
INS	209	209	0	446	1	0.3191	0.4838	33	toilvg	calls	s2	1
DEL	115	115	0	553	1	0.1722	0.2938	33	toilvg	calls	s2	1
Total	283	283	0	1040	1	0.2139	0.3524	35	toilvg	calls	s2	1
INS	198	198	0	457	1	0.3023	0.4643	35	toilvg	calls	s2	1
DEL	85	85	0	583	1	0.1272	0.2257	35	toilvg	calls	s2	1
Total	245	245	0	1078	1	0.1852	0.3125	38.4316	toilvg	calls	s2	1
INS	174	174	0	481	1	0.2656	0.4197	38.4316	toilvg	calls	s2	1
DEL	71	71	0	597	1	0.1063	0.1922	38.4316	toilvg	calls	s2	1
Total	223	223	0	1100	1	0.1686	0.2886	40	toilvg	calls	s2	1
INS	159	159	0	496	1	0.2427	0.3906	40	toilvg	calls	s2	1
DEL	64	64	0	604	1	0.0958	0.1748	40	toilvg	calls	s2	1
Total	176	176	0	1147	1	0.133	0.2348	45.3133	toilvg	calls	s2	1
INS	132	132	0	523	1	0.2015	0.3354	45.3133	toilvg	calls	s2	1
DEL	44	44	0	624	1	0.0659	0.1237	45.3133	toilvg	calls	s2	1
Total	140	140	0	1183	1	0.1058	0.1914	52.0575	toilvg	calls	s2	1
INS	99	99	0	556	1	0.1511	0.2625	52.0575	toilvg	calls	s2	1
DEL	41	41	0	627	1	0.0614	0.1157	52.0575	toilvg	calls	s2	1
Total	105	105	0	1218	1	0.0794	0.1471	60.8444	toilvg	calls	s2	1
INS	67	67	0	588	1	0.1023	0.1856	60.8444	toilvg	calls	s2	1
DEL	38	38	0	630	1	0.0569	0.1077	60.8444	toilvg	calls	s2	1
Total	72	72	0	1251	1	0.0544	0.1032	69	toilvg	calls	s2	1
INS	48	48	0	607	1	0.0733	0.1366	69	toilvg	calls	s2	1
DEL	24	24	0	644	1	0.0359	0.0693	69	toilvg	calls	s2	1
Total	37	37	0	1286	1	0.028	0.0545	78	toilvg	calls	s2	1
INS	25	25	0	630	1	0.0382	0.0736	78	toilvg	calls	s2	1
DEL	12	12	0	656	1	0.018	0.0354	78	toilvg	calls	s2	1
Total	1	1	0	1322	1	8e-04	0.0016	173	toilvg	calls	s2	1
INS	0	0	0	655	NA	0	NA	173	toilvg	calls	s2	1
DEL	1	1	0	667	1	0.0015	0.003	173	toilvg	calls	s2	1
Total	89	89	0	1234	1	0.0673	0.1261	0	svtyper	calls	s2	1
INS	0	0	0	655	NA	0	NA	0	svtyper	calls	s2	1
DEL	89	89	0	579	1	0.1332	0.2351	0	svtyper	calls	s2	1
Total	89	89	0	1234	1	0.0673	0.1261	21.31	svtyper	calls	s2	1
INS	0	0	0	655	NA	0	NA	21.31	svtyper	calls	s2	1
DEL	89	89	0	579	1	0.1332	0.2351	21.31	svtyper	calls	s2	1
Total	84	84	0	1239	1	0.0635	0.1194	31.46	svtyper	calls	s2	1
INS	0	0	0	655	NA	0	NA	31.46	svtyper	calls	s2	1
DEL	84	84	0	584	1	0.1257	0.2233	31.46	svtyper	calls	s2	1
Total	18	18	0	1305	1	0.0136	0.0268	40.1320000000001	svtyper	calls	s2	1
INS	0	0	0	655	NA	0	NA	40.1320000000001	svtyper	calls	s2	1
DEL	18	18	0	650	1	0.0269	0.0524	40.1320000000001	svtyper	calls	s2	1
Total	9	9	0	1314	1	0.0068	0.0135	64.4640000000001	svtyper	calls	s2	1
INS	0	0	0	655	NA	0	NA	64.4640000000001	svtyper	calls	s2	1
DEL	9	9	0	659	1	0.0135	0.0266	64.4640000000001	svtyper	calls	s2	1
Total	1	1	0	1322	1	8e-04	0.0016	177.38	svtyper	calls	s2	1
INS	0	0	0	655	NA	0	NA	177.38	svtyper	calls	s2	1
DEL	1	1	0	667	1	0.0015	0.003	177.38	svtyper	calls	s2	1
Total	66	66	0	1257	1	0.0499	0.0951	0	delly	calls	s2	1
INS	18	18	0	637	1	0.0275	0.0535	0	delly	calls	s2	1
DEL	48	48	0	620	1	0.0719	0.1342	0	delly	calls	s2	1
Total	99	99	0	1224	1	0.0748	0.1392	0	bayestyper	calls	s2	1
INS	98	98	0	557	1	0.1496	0.2603	0	bayestyper	calls	s2	1
DEL	1	1	0	667	1	0.0015	0.003	0	bayestyper	calls	s2	1
Total	99	99	0	1224	1	0.0748	0.1392	25.2288	bayestyper	calls	s2	1
INS	98	98	0	557	1	0.1496	0.2603	25.2288	bayestyper	calls	s2	1
DEL	1	1	0	667	1	0.0015	0.003	25.2288	bayestyper	calls	s2	1
Total	94	94	0	1229	1	0.0711	0.1328	99	bayestyper	calls	s2	1
INS	93	93	0	562	1	0.142	0.2487	99	bayestyper	calls	s2	1
DEL	1	1	0	667	1	0.0015	0.003	99	bayestyper	calls	s2	1
Total	565	565	0	758	1	0.4271	0.5986	0	toilvg	truth	s2	1
INS	222	222	0	433	1	0.3389	0.5062	0	toilvg	truth	s2	1
DEL	343	343	0	325	1	0.5135	0.6786	0	toilvg	truth	s2	1
Total	565	565	0	758	1	0.4271	0.5986	12	toilvg	truth	s2	1
INS	222	222	0	433	1	0.3389	0.5062	12	toilvg	truth	s2	1
DEL	343	343	0	325	1	0.5135	0.6786	12	toilvg	truth	s2	1
Total	517	517	0	806	1	0.3908	0.562	33	toilvg	truth	s2	1
INS	218	218	0	437	1	0.3328	0.4994	33	toilvg	truth	s2	1
DEL	299	299	0	369	1	0.4476	0.6184	33	toilvg	truth	s2	1
Total	491	491	0	832	1	0.3711	0.5413	34	toilvg	truth	s2	1
INS	216	216	0	439	1	0.3298	0.496	34	toilvg	truth	s2	1
DEL	275	275	0	393	1	0.4117	0.5833	34	toilvg	truth	s2	1
Total	396	396	0	927	1	0.2993	0.4607	37	toilvg	truth	s2	1
INS	199	199	0	456	1	0.3038	0.466	37	toilvg	truth	s2	1
DEL	197	197	0	471	1	0.2949	0.4555	37	toilvg	truth	s2	1
Total	339	339	0	984	1	0.2562	0.4079	39.093	toilvg	truth	s2	1
INS	184	184	0	471	1	0.2809	0.4386	39.093	toilvg	truth	s2	1
DEL	155	155	0	513	1	0.232	0.3766	39.093	toilvg	truth	s2	1
Total	283	283	0	1040	1	0.2139	0.3524	42.5629	toilvg	truth	s2	1
INS	158	158	0	497	1	0.2412	0.3887	42.5629	toilvg	truth	s2	1
DEL	125	125	0	543	1	0.1871	0.3152	42.5629	toilvg	truth	s2	1
