type	TP	TP.baseline	FP	FN	precision	recall	F1	qual	method	graph	sample	depth
INS	34	34	2	646	0.9444	0.05	0.095	91.8506300000001	toilvg	calls	s1	1
DEL	16	16	1	651	0.9412	0.024	0.0468	91.8506300000001	toilvg	calls	s1	1
INV	16	17	4	652	0.8	0.0254	0.0492	91.8506300000001	toilvg	calls	s1	1
Total	1	1	0	2015	1	5e-04	0.001	209.363	toilvg	calls	s1	1
INS	1	1	0	679	1	0.0015	0.003	209.363	toilvg	calls	s1	1
DEL	0	0	0	667	NA	0	NA	209.363	toilvg	calls	s1	1
INV	0	0	0	669	NA	0	NA	209.363	toilvg	calls	s1	1
Total	162	162	59	1854	0.733	0.0804	0.1449	0	svtyper	calls	s1	1
INS	0	0	0	680	NA	0	NA	0	svtyper	calls	s1	1
DEL	50	50	12	617	0.8065	0.075	0.1372	0	svtyper	calls	s1	1
INV	112	112	47	557	0.7044	0.1674	0.2705	0	svtyper	calls	s1	1
Total	162	162	58	1854	0.7364	0.0804	0.145	2	svtyper	calls	s1	1
INS	0	0	0	680	NA	0	NA	2	svtyper	calls	s1	1
DEL	50	50	12	617	0.8065	0.075	0.1372	2	svtyper	calls	s1	1
INV	112	112	46	557	0.7089	0.1674	0.2708	2	svtyper	calls	s1	1
Total	66	66	12	1950	0.8462	0.0327	0.063	5	svtyper	calls	s1	1
INS	0	0	0	680	NA	0	NA	5	svtyper	calls	s1	1
DEL	12	12	0	655	1	0.018	0.0354	5	svtyper	calls	s1	1
INV	54	54	12	615	0.8182	0.0807	0.1469	5	svtyper	calls	s1	1
Total	28	28	1	1988	0.9655	0.0139	0.0274	7	svtyper	calls	s1	1
INS	0	0	0	680	NA	0	NA	7	svtyper	calls	s1	1
DEL	6	6	0	661	1	0.009	0.0178	7	svtyper	calls	s1	1
INV	22	22	1	647	0.9565	0.0329	0.0636	7	svtyper	calls	s1	1
Total	1	1	1	2015	0.5	5e-04	0.001	17	svtyper	calls	s1	1
INS	0	0	0	680	NA	0	NA	17	svtyper	calls	s1	1
DEL	0	0	0	667	NA	0	NA	17	svtyper	calls	s1	1
INV	1	1	1	668	0.5	0.0015	0.003	17	svtyper	calls	s1	1
Total	81	81	18	1935	0.8182	0.0402	0.0766	0	delly	calls	s1	1
INS	34	34	12	646	0.7391	0.05	0.0937	0	delly	calls	s1	1
DEL	47	47	6	620	0.8868	0.0705	0.1306	0	delly	calls	s1	1
INV	0	0	0	669	NA	0	NA	0	delly	calls	s1	1
